index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold,Primary Author,Total Revenue,Publisher Profit,Rating Category
341,1947,La peste,"Albert Camus, Stuart Gilbert",en-US,Intermediate,3.97,95803,Fiction,965.58,0.0,3.99,366,"Amazon Digital Services,  Inc.",242,Albert Camus,965.58,0.0,Good (3.5-4.0)
342,1999,The Reptile Room,"Lemony Snicket, Brett Helquist",eng,Intermediate,3.95,130213,Fiction,1202.59,721.554,4.99,367,Simon and Schuster Digital Sales Inc,241,Lemony Snicket,1202.59,721.554,Good (3.5-4.0)
343,2012,Brain on Fire,Susannah Cahalan,eng,Intermediate,4.0,92849,Fiction,2566.65,1539.99,10.65,368,Hachette Book Group,241,Susannah Cahalan,2566.65,1539.99,Good (3.5-4.0)
344,2007,Wicked Lovely ,Melissa Marr,en-US,Intermediate,3.69,131034,Fiction,1197.6,718.56,4.99,370,Simon and Schuster Digital Sales Inc,240,Melissa Marr,1197.6,718.56,Good (3.5-4.0)
345,1941,Curious George,H.A. Rey,en-CA,Excellent,4.13,105473,Fiction,236.61,141.966,0.99,371,"Amazon Digital Services,  Inc.",239,H.A. Rey,236.61,141.966,Very Good (4.0-4.5)
346,1979,Die unendliche Geschichte,"Michael Ende, Ralph Manheim, Roswitha Quadflieg",eng,Excellent,4.17,109110,Fiction,953.61,0.0,3.99,372,"Amazon Digital Services,  Inc.",239,Michael Ende,953.61,0.0,Very Good (4.0-4.5)
347,1998,A Beautiful Mind,Sylvia Nasar,en-GB,Excellent,4.12,98276,Fiction,1544.62,926.772,6.49,373,Random House LLC,238,Sylvia Nasar,1544.62,926.772,Very Good (4.0-4.5)
348,1906,The Jungle,"Upton Sinclair, Earl Lee, Kathleen DeGrave",eng,Intermediate,3.72,97468,Fiction,1419.63,851.778,5.99,375,Random House LLC,237,Upton Sinclair,1419.63,851.778,Good (3.5-4.0)
349,2008,The Summoning,Kelley Armstrong,en-US,Excellent,4.03,132285,Fiction,471.63,0.0,1.99,376,"Amazon Digital Services,  Inc.",237,Kelley Armstrong,471.63,0.0,Very Good (4.0-4.5)
350,1985,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,en-US,Excellent,4.04,102419,nonfiction,1182.63,709.578,4.99,376,Random House LLC,237,Oliver Sacks,1182.63,709.578,Very Good (4.0-4.5)
351,1978,Storm Island,Ken Follett,en-US,Excellent,4.16,93475,fiction,708.63,0.0,2.99,376,"Amazon Digital Services,  Inc.",237,Ken Follett,708.63,0.0,Very Good (4.0-4.5)
352,2000,The Blind Assassin,Margaret Atwood,eng,Intermediate,3.95,98464,nonfiction,1885.64,1131.384,7.99,378,HarperCollins Christian Publishing,236,Margaret Atwood,1885.64,1131.384,Good (3.5-4.0)
353,2014,Hollow City,Ransom Riggs,eng,Excellent,4.07,73149,Fiction,1642.65,985.59,6.99,380,Penguin Group (USA) LLC,235,Ransom Riggs,1642.65,985.59,Very Good (4.0-4.5)
354,1999,House of Sand and Fog,Andre Dubus III,eng,Intermediate,3.83,55381,Fiction,933.66,560.196,3.99,381,"Amazon Digital Services,  Inc.",234,Andre Dubus III,933.66,560.196,Good (3.5-4.0)
355,2014,The Girl with All the Gifts,M.R. Carey,eng,Intermediate,3.93,99729,Fiction,463.67,278.202,1.99,383,Simon and Schuster Digital Sales Inc,233,M.R. Carey,463.67,278.202,Good (3.5-4.0)
356,1930,As I Lay Dying,William Faulkner,eng,Intermediate,3.72,103547,nonfiction,461.68,277.008,1.99,385,HarperCollins Publishers,6264,William Faulkner,461.68,277.008,Good (3.5-4.0)
357,1955,Harold and the Purple Crayon,Crockett Johnson,eng,Excellent,4.24,107221,Fiction,925.68,0.0,3.99,385,"Amazon Digital Services,  Inc.",6264,Crockett Johnson,925.68,0.0,Very Good (4.0-4.5)
358,2006,"Lover Eternal (Black Dagger Brotherhood, #2)",J.R. Ward,eng,Excellent,4.35,137558,nonfiction,2460.15,1476.09,10.65,387,Random House LLC,6237,J.R. Ward,2460.15,1476.09,Very Good (4.0-4.5)
360,2001,Fool Moon ,Jim Butcher,eng,Excellent,4.04,111371,Fiction,687.7,412.62,2.99,389,Macmillan,6210,Jim Butcher,687.7,412.62,Very Good (4.0-4.5)
361,2011,David and Goliath,Malcolm Gladwell,eng,Intermediate,3.9,90083,nonfiction,2509.3,1505.58,10.91,389,Random House LLC,6210,Malcolm Gladwell,2509.3,1505.58,Good (3.5-4.0)
362,2002,é‹¼ã®éŒ¬é‡‘è¡“å¸« 1,"Hiromu Arakawa, Akira Watanabe",eng,Famous,4.49,93990,Fiction,226.71,0.0,0.99,391,"Amazon Digital Services,  Inc.",6183,Hiromu Arakawa,226.71,0.0,Very Good (4.0-4.5)
363,1989,Guards! Guards!,Terry Pratchett,eng,Excellent,4.32,108652,Fiction,1142.71,0.0,4.99,392,"Amazon Digital Services,  Inc.",6183,Terry Pratchett,1142.71,0.0,Very Good (4.0-4.5)
364,2005,The Year of Magical Thinking,Joan Didion,eng,Intermediate,3.86,94590,Fiction,909.72,0.0,3.99,393,"Amazon Digital Services,  Inc.",6156,Joan Didion,909.72,0.0,Good (3.5-4.0)
365,2003,We Need to Talk About Kevin,Lionel Shriver,eng,Excellent,4.07,101343,Fiction,5902.92,3541.752,25.89,393,HarperCollins Publishers,6156,Lionel Shriver,5902.92,3541.752,Very Good (4.0-4.5)
366,1973,Rendezvous with Rama,Arthur C. Clarke,eng,Excellent,4.06,93151,Fiction,1468.69,881.214,6.47,395,"Amazon Digital Services,  Inc.",6129,Arthur C. Clarke,1468.69,881.214,Very Good (4.0-4.5)
367,1988,The Queen of the Damned,Anne Rice,eng,Intermediate,3.86,110693,Fiction,223.74,134.244,0.99,397,"Amazon Digital Services,  Inc.",6102,Anne Rice,223.74,134.244,Good (3.5-4.0)
368,1920,The Age of Innocence,"Edith Wharton, Maureen Howard",eng,Intermediate,3.93,102646,Fiction,1188.76,713.256,5.26,398,"Amazon Digital Services,  Inc.",6102,Edith Wharton,1188.76,713.256,Good (3.5-4.0)
369,1976,The Selfish Gene,Richard Dawkins,eng,Excellent,4.11,96564,Fiction,897.75,538.65,3.99,400,"Amazon Digital Services,  Inc.",6075,Richard Dawkins,897.75,538.65,Very Good (4.0-4.5)
